STD_Lock,1,6188552857
TBB,1,7029416869
WFC_Laborde 4,1,24085288711
WFC_Laborde 8,1,16221242745
LibCDS_Feldman 4,1,15884236030
LibCDS_Feldman 8,1,13644865059
LibCDS_Michael 1,1,12418770794
Xenium_Michael,1,14818781906
LibCDS_SplitOrdered 1,1,26162650254
STD_Lock,4,17006816092
TBB,4,3443456252
WFC_Laborde 4,4,8367977525
WFC_Laborde 8,4,6227713828
LibCDS_Feldman 4,4,4612383812
LibCDS_Feldman 8,4,4528396335
LibCDS_Michael 1,4,3542979432
Xenium_Michael,4,4418085548
LibCDS_SplitOrdered 1,4,10918864239
STD_Lock,8,18164281298
TBB,8,1684880552
WFC_Laborde 4,8,4327259654
WFC_Laborde 8,8,3023321729
LibCDS_Feldman 4,8,2298727263
LibCDS_Feldman 8,8,2382210149
LibCDS_Michael 1,8,1639711812
Xenium_Michael,8,2332616614
LibCDS_SplitOrdered 1,8,6116679469
STD_Lock,16,17489323260
TBB,16,721815027
WFC_Laborde 4,16,2356126858
WFC_Laborde 8,16,1853241329
LibCDS_Feldman 4,16,1263201647
LibCDS_Feldman 8,16,1537644441
LibCDS_Michael 1,16,969788677
Xenium_Michael,16,1208478030
LibCDS_SplitOrdered 1,16,4519844957
STD_Lock,32,16960208282
TBB,32,408096801
WFC_Laborde 4,32,1449479283
WFC_Laborde 8,32,1466043215
LibCDS_Feldman 4,32,665913460
LibCDS_Feldman 8,32,703286657
LibCDS_Michael 1,32,552211263
Xenium_Michael,32,654992034
LibCDS_SplitOrdered 1,32,2944335121
