STD_Lock,1,7530094918
TBB,1,8155812822
WFC_Laborde 4,1,24410980379
WFC_Laborde 8,1,16494168784
LibCDS_Feldman 4,1,17799123921
LibCDS_Feldman 8,1,15559991698
LibCDS_Michael 1,1,14310498609
Xenium_Michael,1,15088126098
LibCDS_SplitOrdered 1,1,27590935229
STD_Lock,4,18686477196
TBB,4,3991659495
WFC_Laborde 4,4,9168639574
WFC_Laborde 8,4,6625801778
LibCDS_Feldman 4,4,5309575372
LibCDS_Feldman 8,4,5223986841
LibCDS_Michael 1,4,4416910028
Xenium_Michael,4,4589254820
LibCDS_SplitOrdered 1,4,12837738106
STD_Lock,8,22453689407
TBB,8,2191234121
WFC_Laborde 4,8,4950198748
WFC_Laborde 8,8,3611920136
LibCDS_Feldman 4,8,2736770845
LibCDS_Feldman 8,8,2832406703
LibCDS_Michael 1,8,2095687073
Xenium_Michael,8,2295600470
LibCDS_SplitOrdered 1,8,8479676911
STD_Lock,16,20126683969
TBB,16,985337609
WFC_Laborde 4,16,2799632178
WFC_Laborde 8,16,2080669222
LibCDS_Feldman 4,16,1570515531
LibCDS_Feldman 8,16,1951592041
LibCDS_Michael 1,16,1148481848
Xenium_Michael,16,1217992400
LibCDS_SplitOrdered 1,16,6684462266
STD_Lock,32,19817294290
TBB,32,676900953
WFC_Laborde 4,32,1655353438
WFC_Laborde 8,32,1595363775
LibCDS_Feldman 4,32,863932714
LibCDS_Feldman 8,32,972558441
LibCDS_Michael 1,32,679861481
Xenium_Michael,32,697044496
LibCDS_SplitOrdered 1,32,5370640710
