STD_Lock,1,7309804277
TBB,1,8264487749
WFC_Laborde 4,1,24522029683
WFC_Laborde 8,1,16482543157
LibCDS_Feldman 4,1,17826602155
LibCDS_Feldman 8,1,15121317280
LibCDS_Michael 1,1,14808021475
Xenium_Michael,1,15146920199
LibCDS_SplitOrdered 1,1,24488111492
STD_Lock,4,18926972755
TBB,4,3258827910
WFC_Laborde 4,4,9086453717
WFC_Laborde 8,4,6407616422
LibCDS_Feldman 4,4,4909480627
LibCDS_Feldman 8,4,4288929597
LibCDS_Michael 1,4,4227164154
Xenium_Michael,4,4186882562
LibCDS_SplitOrdered 1,4,7155403755
STD_Lock,8,21272895156
TBB,8,1760819816
WFC_Laborde 4,8,4584390871
WFC_Laborde 8,8,3145548126
LibCDS_Feldman 4,8,2444873015
LibCDS_Feldman 8,8,2149090537
LibCDS_Michael 1,8,2064018543
Xenium_Michael,8,2047664241
LibCDS_SplitOrdered 1,8,3527153956
STD_Lock,16,19671067906
TBB,16,870003828
WFC_Laborde 4,16,2543874137
WFC_Laborde 8,16,1944571624
LibCDS_Feldman 4,16,1335963531
LibCDS_Feldman 8,16,1244294102
LibCDS_Michael 1,16,1147876858
Xenium_Michael,16,1217649343
LibCDS_SplitOrdered 1,16,1769307840
STD_Lock,32,20857042494
TBB,32,520672926
WFC_Laborde 4,32,1537677358
WFC_Laborde 8,32,1507414675
LibCDS_Feldman 4,32,789005628
LibCDS_Feldman 8,32,657494884
LibCDS_Michael 1,32,659722041
Xenium_Michael,32,673545177
LibCDS_SplitOrdered 1,32,1042810292
