LibCDS_Michael 1,32,795794476
LibCDS_SplitOrdered 1,32,1098816720
STD_Lock,1,4625271068
TBB,1,5469519424
WFC_Laborde 4,1,12342731047
WFC_Laborde 8,1,8858389852
LibCDS_Feldman 4,1,12033964719
LibCDS_Feldman 8,1,10665651167
Xenium_Michael,1,13497352853
LibCDS_Michael 1,1,12176572903
LibCDS_SplitOrdered 1,1,20749257446
STD_Lock,4,16571570748
TBB,4,2670136310
WFC_Laborde 4,4,5993643853
WFC_Laborde 8,4,5026448451
LibCDS_Feldman 4,4,3606148381
LibCDS_Feldman 8,4,3387577309
Xenium_Michael,4,4114154982
LibCDS_Michael 1,4,3892961202
LibCDS_SplitOrdered 1,4,6019333697
STD_Lock,8,19880440322
TBB,8,1183139874
LibCDS_Feldman 4,8,1915129641
LibCDS_Feldman 8,8,1681873263
Xenium_Michael,8,2116332336
LibCDS_Michael 1,8,1877447018
LibCDS_SplitOrdered 1,8,3133726796
STD_Lock,16,19960626182
TBB,16,661874284
LibCDS_Feldman 4,16,1180126787
LibCDS_Feldman 8,16,1014103363
Xenium_Michael,16,1269545613
LibCDS_Michael 1,16,1218681106
LibCDS_SplitOrdered 1,16,1755623725
STD_Lock,32,19962078708
TBB,32,450282651
LibCDS_Feldman 4,32,828584575
LibCDS_Feldman 8,32,611213523
Xenium_Michael,32,730115278
LibCDS_Michael 1,32,846384558
LibCDS_SplitOrdered 1,32,1010699703
STD_Lock,1,4617764309
TBB,1,5470606377
WFC_Laborde 4,1,12343282841
WFC_Laborde 8,1,8854990544
LibCDS_Feldman 4,1,12036217465
LibCDS_Feldman 8,1,10663796724
Xenium_Michael,1,13495160364
LibCDS_Michael 1,1,12192608217
LibCDS_SplitOrdered 1,1,20752186327
STD_Lock,4,15717059899
TBB,4,2727144089
WFC_Laborde 4,4,6605550071
WFC_Laborde 8,4,4953455916
LibCDS_Feldman 4,4,3616283449
LibCDS_Feldman 8,4,3217116719
Xenium_Michael,4,4140708079
LibCDS_Michael 1,4,3852799785
LibCDS_SplitOrdered 1,4,5930475280
STD_Lock,8,19450758559
TBB,8,1255684687
WFC_Laborde 4,8,3736628274
LibCDS_Feldman 4,8,2015937725
LibCDS_Feldman 8,8,1688306042
Xenium_Michael,8,2072985203
LibCDS_Michael 1,8,1982327148
LibCDS_SplitOrdered 1,8,3085017575
STD_Lock,16,19987769620
TBB,16,693620111
WFC_Laborde 4,16,2690043092
LibCDS_Feldman 4,16,1168896033
LibCDS_Feldman 8,16,1035110981
Xenium_Michael,16,1194949115
LibCDS_Michael 1,16,1199015195
LibCDS_SplitOrdered 1,16,1788576045
STD_Lock,32,19576937448
TBB,32,423917806
WFC_Laborde 8,32,2007425225
LibCDS_Feldman 4,32,759252275
LibCDS_Feldman 8,32,629594055
Xenium_Michael,32,683278334
LibCDS_Michael 1,32,811033231
LibCDS_SplitOrdered 1,32,1124521473
STD_Lock,1,4628337051
TBB,1,5474026435
WFC_Laborde 4,1,12347481359
WFC_Laborde 8,1,8852006457
LibCDS_Feldman 4,1,12034587165
LibCDS_Feldman 8,1,10662232470
Xenium_Michael,1,13493580979
LibCDS_Michael 1,1,12171381909
LibCDS_SplitOrdered 1,1,20749208265
STD_Lock,4,15547344704
TBB,4,2753446969
WFC_Laborde 4,4,6476073292
WFC_Laborde 8,4,4940201519
LibCDS_Feldman 4,4,3833668597
LibCDS_Feldman 8,4,3286612269
Xenium_Michael,4,4209239531
LibCDS_Michael 1,4,3895994463
LibCDS_SplitOrdered 1,4,6071253128
STD_Lock,8,19704122251
TBB,8,1216089243
WFC_Laborde 4,8,3684982048
WFC_Laborde 8,8,2680538026
LibCDS_Feldman 4,8,2060155834
LibCDS_Feldman 8,8,1631291095
Xenium_Michael,8,2128720848
LibCDS_Michael 1,8,2030863545
LibCDS_SplitOrdered 1,8,3029835954
STD_Lock,16,19444350287
TBB,16,682219223
WFC_Laborde 4,16,2348579334
LibCDS_Feldman 4,16,1169766710
LibCDS_Feldman 8,16,995286879
Xenium_Michael,16,1254329459
LibCDS_Michael 1,16,1203136463
LibCDS_SplitOrdered 1,16,1824694186
STD_Lock,32,20264924515
TBB,32,439791880
WFC_Laborde 4,32,2012157474
LibCDS_Feldman 4,32,809771483
LibCDS_Feldman 8,32,672309156
Xenium_Michael,32,706634195
LibCDS_Michael 1,32,818384571
LibCDS_SplitOrdered 1,32,1077111646
STD_Lock,1,4623503127
TBB,1,5473761846
WFC_Laborde 4,1,12348513014
WFC_Laborde 8,1,8853089599
LibCDS_Feldman 4,1,12034433961
LibCDS_Feldman 8,1,10660875806
Xenium_Michael,1,13494118908
LibCDS_Michael 1,1,12175530949
LibCDS_SplitOrdered 1,1,20747624409
STD_Lock,4,15879139916
TBB,4,2846172363
WFC_Laborde 8,4,5197859325
LibCDS_Feldman 4,4,3868616344
LibCDS_Feldman 8,4,3270238117
Xenium_Michael,4,4089851983
LibCDS_Michael 1,4,3828855937
LibCDS_SplitOrdered 1,4,5822606316
STD_Lock,8,19186541326
TBB,8,1337162319
WFC_Laborde 4,8,3621516296
